stock,stock code,net amount (S$M),published date
OCBC,O39.SI,26.112644,2019-01-07
UOB,U11.SI,14.812425,2019-01-07
Ascendas REIT,A17U.SI,13.396182,2019-01-07
SGX,S68.SI,11.775051,2019-01-07
Genting Singapore,G13.SI,7.0279045,2019-01-07
Jardine Cycle & Carriage,C07.SI,5.907078,2019-01-07
Keppel Corporation,BN4.SI,5.577129,2019-01-07
Thai Beverage,Y92.SI,4.134136,2019-01-07
CapitaLand Mall Trust,C38U.SI,3.844864,2019-01-07
DBS,D05.SI,57.65886,2019-01-14
UOB,U11.SI,45.70013,2019-01-14
OCBC,O39.SI,37.46821,2019-01-14
Thai Beverage,Y92.SI,22.197906,2019-01-14
Venture Corporation,V03.SI,19.737802,2019-01-14
Genting Singapore,G13.SI,14.445656,2019-01-14
City Developments,C09.SI,13.543937,2019-01-14
SATS,S58.SI,12.447025,2019-01-14
Singtel,Z74.SI,9.811547,2019-01-14
Genting Singapore,G13.SI,16.650807,2019-01-21
Thai Beverage,Y92.SI,16.3490555,2019-01-21
ST Engineering,S63.SI,12.981728,2019-01-21
Yangzijiang Shipbuilding,BS6.SI,11.629215,2019-01-21
SGX,S68.SI,10.155708,2019-01-21
City Developments,C09.SI,6.702215,2019-01-21
UOL Group,U14.SI,5.028522,2019-01-21
Hongkong Land,H78.SI,4.8442534736,2019-01-21
OCBC,O39.SI,4.822599,2019-01-21
SGX,S68.SI,23.67770903125,2019-01-28
ComfortDelGro,C52.SI,21.489954,2019-01-28
Venture Corporation,V03.SI,9.327129,2019-01-28
Thai Beverage,Y92.SI,8.9381795,2019-01-28
City Developments,C09.SI,5.658105,2019-01-28
Yangzijiang Shipbuilding,BS6.SI,4.908894,2019-01-28
CapitaLand Mall Trust,C38U.SI,3.486059,2019-01-28
SGX,S68.SI,27.696641,2019-02-04
Yangzijiang Shipbuilding,BS6.SI,19.697073,2019-02-04
Thai Beverage,Y92.SI,7.0036025,2019-02-04
CapitaLand Mall Trust,C38U.SI,6.632449,2019-02-04
ComfortDelGro,C52.SI,5.370355,2019-02-04
Genting Singapore,G13.SI,5.336825,2019-02-04
Ascott Residence Trust,HMN.SI,5.100981,2019-02-04
Frasers Logistics & Industrial Trust,BUOU.SI,4.980403,2019-02-04
DBS,D05.SI,22.598368,2019-02-11
Singtel,Z74.SI,6.414762,2019-02-11
ST Engineering,S63.SI,5.993738,2019-02-11
SIA,C6L.SI,5.338143,2019-02-11
Mapletree Commercial Trust,N2IU.SI,5.001723,2019-02-11
SGX,S68.SI,4.398834,2019-02-11
OCBC,O39.SI,4.346077,2019-02-11
City Developments,C09.SI,4.330551,2019-02-11
StarHub,CC3.SI,4.205354,2019-02-11
SGX,S68.SI,31.112432,2019-02-18
Thai Beverage,Y92.SI,30.34478,2019-02-18
DBS,D05.SI,26.81533,2019-02-18
SATS,S58.SI,19.548531,2019-02-18
Jardine Matheson,J36.SI,17.1877324228999,2019-02-18
UOB,U11.SI,16.390679,2019-02-18
City Developments,C09.SI,13.521176,2019-02-18
Keppel REIT,K71U.SI,8.505499,2019-02-18
SIA,C6L.SI,8.427418,2019-02-18
Keppel Corporation,BN4.SI,22.95162,2019-02-25
Sembcorp Marine,S51.SI,21.919318,2019-02-25
SIA,C6L.SI,19.887284,2019-02-25
SGX,S68.SI,11.266509,2019-02-25
SATS,S58.SI,9.586678,2019-02-25
Singtel,Z74.SI,8.421951,2019-02-25
Singapore Post,S08.SI,6.1247555,2019-02-25
