stock,stock code,net amount (S$M),published date
Singtel,Z74.SI,-6.313389,2019-01-07
DBS,D05.SI,-4.68727,2019-01-07
Yongnam Holdings,AXB.SI,-2.2112308184185,2019-01-07
Jardine Matheson,J36.SI,-2.02291799761962,2019-01-07
NetLink NBN Trust,CJLU.SI,-1.5143985,2019-01-07
StarHub,CC3.SI,-1.125573,2019-01-07
City Developments,C09.SI,-1.120242,2019-01-07
Parkway Life REIT,C2PU.SI,-0.804799,2019-01-07
Hutchison Port Holdings Trust,NS8U.SI,-0.632018180381774,2019-01-07
GSH Corporation,BDX.SI,-39.3798925,2019-01-14
CapitaLand Mall Trust,C38U.SI,-14.153367,2019-01-14
ComfortDelGro,C52.SI,-10.317097,2019-01-14
Silverlake Axis,5CP.SI,-5.266355,2019-01-14
StarHub,CC3.SI,-3.996145,2019-01-14
Sembcorp Marine,S51.SI,-3.320154,2019-01-14
Haw Par Corporation,H02.SI,-3.072064,2019-01-14
NetLink NBN Trust,CJLU.SI,-2.580111,2019-01-14
CSE Global,544.SI,-2.1455245,2019-01-14
Ascendas REIT,A17U.SI,-25.084823,2019-01-21
ComfortDelGro,C52.SI,-9.893042,2019-01-21
Sembcorp Industries,U96.SI,-9.029678,2019-01-21
CapitaLand Mall Trust,C38U.SI,-8.198789,2019-01-21
SATS,S58.SI,-6.837378,2019-01-21
Jardine Matheson,J36.SI,-5.05176900189999,2019-01-21
Singtel,Z74.SI,-4.316207,2019-01-21
UOB,U11.SI,-4.16343299999999,2019-01-21
Best World International,CGN.SI,-3.968375,2019-01-21
DBS,D05.SI,-96.57419,2019-01-28
UOB,U11.SI,-49.881548,2019-01-28
OCBC,O39.SI,-37.124095,2019-01-28
Keppel Corporation,BN4.SI,-25.975636,2019-01-28
Singtel,Z74.SI,-17.972432,2019-01-28
Ascendas REIT,A17U.SI,-14.761615,2019-01-28
Sembcorp Industries,U96.SI,-13.71214,2019-01-28
Genting Singapore,G13.SI,-12.782701,2019-01-28
DBS,D05.SI,-78.338363,2019-02-04
UOB,U11.SI,-64.21072,2019-02-04
Keppel Corporation,BN4.SI,-39.292904,2019-02-04
Singtel,Z74.SI,-34.947817,2019-02-04
Sembcorp Marine,S51.SI,-13.368962,2019-02-04
Sembcorp Industries,U96.SI,-11.19341,2019-02-04
OCBC,O39.SI,-10.017616,2019-02-04
SIA,C6L.SI,-8.240575,2019-02-04
Venture Corporation,V03.SI,-7.731993,2019-02-04
UOL Group,U14.SI,-4.919929,2019-02-04
Keppel Corporation,BN4.SI,-11.557831,2019-02-11
Venture Corporation,V03.SI,-8.752245,2019-02-11
Sembcorp Industries,U96.SI,-6.811136,2019-02-11
Sembcorp Marine,S51.SI,-6.072784,2019-02-11
ComfortDelGro,C52.SI,-5.551649,2019-02-11
Frasers L&I Trust,BUOU.SI,-2.544184,2019-02-11
CapitaLand Retail China Trust,AU8U.SI,-1.786796,2019-02-11
CapitaLand Mall Trust,C38U.SI,-1.503416,2019-02-11
Jardine Cycle & Carriage,C07.SI,-17.034937,2019-02-18
StarHub,CC3.SI,-15.448826,2019-02-18
Best World International,CGN.SI,-7.049441,2019-02-18
SIA Engineering,S59.SI,-6.406137,2019-02-18
Genting Singapore,G13.SI,-6.08132,2019-02-18
Yangzijiang Shipbuilding,BS6.SI,-6.056762,2019-02-18
Far East Hospitality Trust,Q5T.SI,-6.008183,2019-02-18
Valuetronics Holdings,BN2.SI,-5.6504965,2019-02-18
NetLink NBN Trust,CJLU.SI,-5.5366155,2019-02-18
ComfortDelGro,C52.SI,-4.257652,2019-02-18
OCBC,O39.SI,-88.79184,2019-02-25
UOB,U11.SI,-64.584614,2019-02-25
DBS,D05.SI,-39.076423,2019-02-25
StarHub,CC3.SI,-22.355155,2019-02-25
Genting Singapore,G13.SI,-12.631053,2019-02-25
City Developments,C09.SI,-10.662237,2019-02-25
Venture Corporation,V03.SI,-8.233175,2019-02-25
Mapletree Commercial Trust,N2IU.SI,-3.612642,2019-02-25
OCBC,O39.SI,-71.325006,2019-03-04
UOB,U11.SI,-64.004127,2019-03-04
Genting Singapore,G13.SI,-42.206612,2019-03-04
Best World International,CGN.SI,-32.793218,2019-03-04
City Developments,C09.SI,-18.554515,2019-03-04
Singtel,Z74.SI,-14.350373,2019-03-04
Keppel Corporation,BN4.SI,-13.586193,2019-03-04
UnUsUaL,1D1.SI,-12.06789946,2019-03-04
Jardine Matheson,J36.SI,-9.8260207181,2019-03-04
StarHub,CC3.SI,-9.435587,2019-03-04
Singtel,Z74.SI,-31.109926,2019-03-11
UOB,U11.SI,-22.454965,2019-03-11
OCBC,O39.SI,-15.912965,2019-03-11
Genting Singapore,G13.SI,-13.98718,2019-03-11
Jardine Matheson,J36.SI,-12.7025976666,2019-03-11
UOL Group,U14.SI,-11.715355,2019-03-11
CapitaLand Mall Trust,C38U.SI,-9.597485,2019-03-11
StarHub,CC3.SI,-7.143931,2019-03-11
China Sunsine Chemical,QES.SI,-4.796634,2019-03-11
First REIT,AW9U.SI,-4.5724995,2019-03-11
OCBC,O39.SI,-75.266638,2019-03-18
SGX,S68.SI,-29.5475,2019-03-18
Venture Corporation,V03.SI,-23.620628,2019-03-18
UOB,U11.SI,-19.736201,2019-03-18
CapitaLand Mall Trust,C38U.SI,-19.05303,2019-03-18
DBS,D05.SI,-18.330083,2019-03-18
StarHub,CC3.SI,-13.523055,2019-03-18
Keppel Corporation,BN4.SI,-11.939375,2019-03-18
Dairy Farm International,D01.SI,-11.864511190100002,2019-03-18
Sembcorp Industries,U96.SI,-9.289469,2019-03-18
Singtel,Z74.SI,-34.960608,2019-03-25
UOB,U11.SI,-26.852068,2019-03-25
Jardine Cycle & Carriage,C07.SI,-11.050101,2019-03-25
SGX,S68.SI,-7.612083,2019-03-25
