stock,stock code,net amount (S$M),published date
DBS,D05.SI,35.315915,2019-01-07
Singtel,Z74.SI,26.9098,2019-01-07
UOB,U11.SI,15.54046,2019-01-07
OCBC,O39.SI,12.534361,2019-01-07
Venture Corporation,V03.SI,7.349083,2019-01-07
City Developments,C09.SI,5.386802,2019-01-07
SIA,C6L.SI,4.989269,2019-01-07
Keppel Corporation,BN4.SI,4.900591,2019-01-07
GSH Corporation,BDX.SI,39.3713115,2019-01-14
CapitaLand Mall Trust,C38U.SI,5.340867,2019-01-14
Silverlake Axis,5CP.SI,5.098878,2019-01-14
Best World International,CGN.SI,3.879127,2019-01-14
StarHub,CC3.SI,3.617937,2019-01-14
NetLink NBN Trust,CJLU.SI,3.1244865,2019-01-14
Haw Paw Corporation,H02.SI,3.031355,2019-01-14
CSE Global,544.SI,1.8673075,2019-01-14
Sembcorp Industries,U96.SI,5.864585,2019-01-21
Best World International,CGN.SI,4.516994,2019-01-21
Jardine Matheson,J36.SI,2.721026816,2019-01-21
CapitaLand Mall Trust,C38U.SI,2.544549,2019-01-21
Creative Technology,C76.SI,2.454966,2019-01-21
ComfortDelGro,C52.SI,2.443733,2019-01-21
StarHub,CC3.SI,2.287221,2019-01-21
Yanlord Land,Z25.SI,2.179424,2019-01-21
DBS,D05.SI,49.01619,2019-01-28
Keppel Corporation,BN4.SI,13.330466,2019-01-28
OCBC,O39.SI,12.233014,2019-01-28
Sembcorp Industries,U96.SI,7.149827,2019-01-28
Genting Singapore,G13.SI,4.36255,2019-01-28
UOB,U11.SI,4.253153,2019-01-28
Sembcorp Marine,S51.SI,3.875616,2019-01-28
Singtel,Z74.SI,3.042737,2019-01-28
Keppel REIT,K71U.SI,2.397306,2019-01-28
DBS,D05.SI,36.462309,2019-02-04
Keppel Corporation,BN4.SI,33.651451,2019-02-04
UOB,U11.SI,19.564475,2019-02-04
Sembcorp Marine,S51.SI,14.106507,2019-02-04
Singtel,Z74.SI,8.587714,2019-02-04
Sembcorp Industries,U96.SI,5.957987,2019-02-04
OCBC,O39.SI,4.694634,2019-02-04
Best World International,CGN.SI,3.003212,2019-02-04
Golden Agri-Resources,E5H.SI,2.743137,2019-02-04
Yoma Strategic ,Z59.SI,2.140848,2019-02-04
Keppel Corporation,BN4.SI,12.914415,2019-02-11
Sembcorp Industries,U96.SI,8.110373,2019-02-11
Sembcorp Marine,S51.SI,6.62910799999999,2019-02-11
UOB,U11.SI,5.93744,2019-02-11
Venture Corporation,V03.SI,5.82269,2019-02-11
Thai Beverage,Y92.SI,4.102243,2019-02-11
ComfortDelGro,C52.SI,2.124729,2019-02-11
OCBC,O39.SI,1.792141,2019-02-11
StarHub,CC3.SI,17.386108,2019-02-18
Singtel,Z74.SI,16.270435,2019-02-18
Genting Singapore,G13.SI,13.057052,2019-02-18
DBS,D05.SI,10.315026,2019-02-18
Jardine Cycle & Carriage,C07.SI,9.108775,2019-02-18
SIA Engineering,S59.SI,7.120117,2019-02-18
Valuetronics Holdings,BN2.SI,6.895254,2019-02-18
NetLink NBN Trust,CJLU.SI,5.9600455,2019-02-18
Yangzijiang Shipbuilding,BS6.SI,5.908544,2019-02-18
Keppel Corporation,BN4.SI,5.60531,2019-02-18
OCBC,O39.SI,56.465852,2019-02-25
UOB,U11.SI,44.898779,2019-02-25
StarHub,CC3.SI,21.94239,2019-02-25
Genting Singapore,G13.SI,10.397099,2019-02-25
Venture Corporation,V03.SI,7.097933,2019-02-25
City Developments,C09.SI,3.455845,2019-02-25
Best World International,CGN.SI,2.424647,2019-02-25
Raffles Medical Group,BSL.SI,1.879266,2019-02-25
OCBC,O39.SI,90.72546,2019-03-04
UOB,U11.SI,59.294061,2019-03-04
Genting Singapore,G13.SI,36.416904,2019-03-04
Best World International,CGN.SI,34.514335,2019-03-04
City Developments,C09.SI,17.59136,2019-03-04
Keppel Corporation,BN4.SI,14.341591,2019-03-04
UnUsUaL,1D1.SI,12.14924546,2019-03-04
Jardine Cycle & Carriage,C07.SI,11.182221,2019-03-04
Singtel,Z74.SI,9.559409,2019-03-04
StarHub,CC3.SI,8.865184,2019-03-04
UOB,U11.SI,24.12589,2019-03-11
Singtel,Z74.SI,21.200882,2019-03-11
OCBC,O39.SI,20.782885,2019-03-11
StarHub,CC3.SI,8.969783,2019-03-11
UOL Group,U14.SI,8.654402,2019-03-11
Keppel Corporation,BN4.SI,7.742456,2019-03-11
Dairy Farm International,D01.SI,7.0824476924,2019-03-11
Venture Corporation,V03.SI,6.691884,2019-03-11
Genting Singapore,G13.SI,6.388379,2019-03-11
China Sunsine Chemical,QES.SI,6.132195,2019-03-11
SGX,S68.SI,46.262369,2019-03-18
OCBC,O39.SI,37.925008,2019-03-18
Venture Corporation,V03.SI,16.751914,2019-03-18
Keppel Corporation,BN4.SI,13.092207,2019-03-18
UOB,U11.SI,12.319693,2019-03-18
Sembcorp Industries,U96.SI,8.354155,2019-03-18
Sembcorp Marine,S51.SI,8.148542,2019-03-18
CapitaLand Mall Trust,C38U.SI,7.800913,2019-03-18
Keppel Infrastructure Trust,A7RU.SI,7.6494645,2019-03-18
Dairy Farm International,D01.SI,7.3538824135,2019-03-18
Jardine Cycle & Carriage,C07.SI,7.285069,2019-03-25
SGX,S68.SI,7.029939,2019-03-25
StarHub,CC3.SI,4.828164,2019-03-25
First REIT,AW9U.SI,4.3824005,2019-03-25
Singtel,Z74.SI,3.855724,2019-03-25
Haw Par Corporation,H02.SI,3.030858,2019-03-25
Straits Trading,S20.SI,2.54498,2019-03-25
UOB,U11.SI,2.488665,2019-03-25
OCBC,O39.SI,41.226446,2019-04-01
GSH Corporation,BDX.SI,18.1065285,2019-04-01
Keppel Infrastructure Trust,A7RU.SI,13.9296485,2019-04-01
SGX,S68.SI,11.524507,2019-04-01
Best World International,CGN.SI,9.834927,2019-04-01
AEM Holdings,AWX.SI,8.986828,2019-04-01
UOB,U11.SI,8.762659,2019-04-01
SIA,C6L.SI,7.420716,2019-04-01
DBS,D05.SI,7.024136,2019-04-01
StarHub,CC3.SI,6.42241,2019-04-01
Genting Singapore,G13.SI,79.5938825,2019-04-08
Best World International,CGN.SI,7.350111,2019-04-08
Keppel Infrastructure Trust,A7RU.SI,5.480184410000001,2019-04-08
First REIT,AW9U.SI,4.991338,2019-04-08
Mapletree Commercial Trust,N2IU.SI,3.529543,2019-04-08
AEM Holdings,AWX.SI,2.959853,2019-04-08
Sheng Siong,OV8.SI,2.774524,2019-04-08
Keppel REIT,K71U.SI,2.41984,2019-04-08
Suntec REIT,T82U.SI,1.937699,2019-04-08
Genting Singapore,G13.SI,26.976598,2019-04-15
First REIT,AW9U.SI,13.5282545,2019-04-15
Best World International,CGN.SI,9.368873,2019-04-15
SGX,S68.SI,7.317388,2019-04-15
Suntec REIT,T82U.SI,4.338675,2019-04-15
AEM Holdings,AWX.SI,4.15388,2019-04-15
StarHub,CC3.SI,3.589254,2019-04-15
Venture Corporation,V03.SI,3.205049,2019-04-15
SGX,S68.SI,20.575546,2019-04-22
Genting Singapore,G13.SI,10.2768935,2019-04-22
CapitaLand Mall Trust,C38U.SI,7.05872,2019-04-22
First REIT,AW9U.SI,5.0222225,2019-04-22
City Developments,C09.SI,4.409131,2019-04-22
Mapletree Commercial Trust,N2IU.SI,3.752989,2019-04-22
Suntec REIT,T82U.SI,2.7374,2019-04-22
AEM Holdings,AWX.SI,2.606167,2019-04-22
Venture Corporation,V03.SI,46.191314,2019-04-29
Suntec REIT,T82U.SI,19.770429,2019-04-29
SGX,S68.SI,12.555582,2019-04-29
SIA,C6L.SI,7.956982,2019-04-29
DBS,D05.SI,5.767075,2019-04-29
Best World International,CGN.SI,4.787598,2019-04-29
City Developments,C09.SI,4.671205,2019-04-29
Genting Singpore,G13.SI,4.131929,2019-04-29
China Everbright Water,U9E.SI,4.083104,2019-04-29
