stock,stock code,net amount (S$M),published date
Thai Beverage,Y92.SI,-3.930021,2019-01-07
Mandarin Oriental ,M04.SI,-2.36344993136596,2019-01-07
SGX,S68.SI,-1.870944,2019-01-07
Mapletree Logistics Trust,M44U.SI,-1.729595,2019-01-07
Ascendas REIT,A17U.SI,-1.520005,2019-01-07
Starhill Global REIT,P40U.SI,-0.997614,2019-01-07
SPH REIT,SK6U.SI,-0.891013,2019-01-07
Jardine Cycle & Carriage,C07.SI,-0.698604,2019-01-07
OCBC,O39.SI,-86.223101,2019-01-14
DBS,D05.SI,-82.168794,2019-01-14
UOB,U11.SI,-54.890757,2019-01-14
Singtel,Z74.SI,-28.27145,2019-01-14
City Developments,C09.SI,-26.843312,2019-01-14
Thai Beverage,Y92.SI,-23.172627,2019-01-14
Venture Corporation,V03.SI,-23.074824,2019-01-14
Keppel Corporation,BN4.SI,-20.708603,2019-01-14
Genting Singapore,G13.SI,-19.13067,2019-01-14
DBS,D05.SI,-36.253962,2019-01-21
OCBC,O39.SI,-29.487349,2019-01-21
UOB ,U11.SI,-19.410325,2019-01-21
Genting Singapore,G13.SI,-16.903413,2019-01-21
SGX,S68.SI,-15.448137,2019-01-21
Thai Beverage,Y92.SI,-15.2373435,2019-01-21
ST Engineering,S63.SI,-14.219631,2019-01-21
Yangzijiang Shipbuilding,BS6.SI,-13.010693,2019-01-21
Singtel,Z74.SI,-12.003266,2019-01-21
SGX,S68.SI,-26.484747,2019-01-28
Venture Corporation,V03.SI,-15.267096,2019-01-28
ComfortDelGro,C52.SI,-14.802811,2019-01-28
Thai Beverage,Y92.SI,-10.610615,2019-01-28
SIA,C6L.SI,-5.918138,2019-01-28
Wilmar International,F34.SI,-4.931626,2019-01-28
Suntec REIT,T82U.SI,-4.839486,2019-01-28
Mapletree Logistics Trust,M44U.SI,-4.629129,2019-01-28
Yangzijiang Shipbuilding,BS6.SI,-4.556573,2019-01-28
SGX,S68.SI,-33.629856,2019-02-04
Yangzijiang Shipbuilding,BS6.SI,-14.501475,2019-02-04
Genting Singapore,G13.SI,-10.594602,2019-02-04
ST Engineering,S63.SI,-9.213311,2019-02-04
Thai Beverage,Y92.SI,-7.3233255,2019-02-04
ComfortDelGro,C52.SI,-6.820601,2019-02-04
Ascott Residence Trust,HMN.SI,-6.050659,2019-02-04
Singtel,Z74.SI,-8.408824,2019-02-11
Best World International,CGN.SI,-7.373449,2019-02-11
DBS,D05.SI,-6.906951,2019-02-11
SGX,S68.SI,-5.062163,2019-02-11
Genting Singapore,G13.SI,-4.645359,2019-02-11
StarHub,CC3.SI,-4.119721,2019-02-11
Keppel REIT,K71U.SI,-3.642318,2019-02-11
ST Engineering,S63.SI,-3.614547,2019-02-11
Yangzijiang Shipbuilding,BS6.SI,-3.491292,2019-02-11
SGX,S68.SI,-28.093403,2019-02-18
Thai Beverage,Y92.SI,-25.672979,2019-02-18
SATS,S58.SI,-17.155962,2019-02-18
ST Engineering,S63.SI,-16.687943,2019-02-18
SIA,C6L.SI,-11.063481,2019-02-18
Keppel REIT,K71U.SI,-8.64056,2019-02-18
City Developments,C09.SI,-6.457185,2019-02-18
Jardine Matheson,J36.SI,-5.3284116698,2019-02-18
Sunpower Group,5GD.SI,-5.2343415,2019-02-18
Venture Corporation,V03.SI,-4.28933,2019-02-18
Keppel Corporation,BN4.SI,-27.342863,2019-02-25
Sembcorp Marine,S51.SI,-24.719101,2019-02-25
SIA,C6L.SI,-22.58554,2019-02-25
SGX,S68.SI,-21.041121,2019-02-25
Singtel,Z74.SI,-20.696469,2019-02-25
Yangzijiang Shipbuilding,BS6.SI,-9.998919,2019-02-25
Sembcorp Industries,U96.SI,-9.477672,2019-02-25
SATS,S58.SI,-8.186072,2019-02-25
Venture Corporation,V03.SI,-50.870548,2019-03-04
AEM Holdings,AWX.SI,-12.60549,2019-03-04
DBS,D05.SI,-12.583378,2019-03-04
SGX,S68.SI,-10.614396,2019-03-04
Thai Beverage,Y92.SI,-7.4362475,2019-03-04
ST Engineering,S63.SI,-4.77514,2019-03-04
SATS,S58.SI,-3.188051,2019-03-04
Keppel REIT,K71U.SI,-2.819048,2019-03-04
DBS,D05.SI,-29.750417,2019-03-11
SGX,S68.SI,-22.940961,2019-03-11
Frasers Logistics & Industrial Trust,BUOU.SI,-9.223031,2019-03-11
Keppel REIT,K71U.SI,-7.382998,2019-03-11
AEM Holdings,AWX.SI,-5.595426,2019-03-11
CapitaLand Retail China Trust,AU8U.SI,-4.496138,2019-03-11
Mapletree Industrial Trust,ME8U.SI,-4.018075,2019-03-11
Yangzijiang Shipbuilding,BS6.SI,-16.354545,2019-03-18
Singtel,Z74.SI,-11.677566,2019-03-18
Thai Beverage,Y92.SI,-7.437218,2019-03-18
ST Engineering,S63.SI,-5.692141,2019-03-18
Thomson Medical Group,A50.SI,-4.5861974000000005,2019-03-18
Hongkong Land,H78.SI,-4.0932247169,2019-03-18
Wilmar International,F34.SI,-4.037035,2019-03-18
CSE Global ,544.SI,-3.0374015,2019-03-18
ComfortDelGro,C52.SI,-2.854409,2019-03-18
Yangzijiang Shipbuilding,BS6.SI,-18.11665,2019-03-25
